"person_id","person_type","crash_record_id","rd_no","vehicle_id","crash_date","seat_no","city","state","zipcode","sex","age","drivers_license_state","drivers_license_class","safety_equipment","airbag_deployed","ejection","injury_classification","hospital","ems_agency","ems_run_no","driver_action","driver_vision","physical_condition","pedpedal_action","pedpedal_visibility","pedpedal_location","bac_result","bac_result_value","cell_phone_use"
"O1259112","DRIVER","87cd647d8c75a0ea3b36b3cb1a21cc4d388a0408caf97e4a78a35ab02f1ce689e75c90e6549fc1567e32723022a4de7f914ea25f77bf70d67cfed54baf0e21f9","JE492170","1195174","2021-12-29T15:30:00.000",,"CHICAGO","IL","60639","F",,"IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P281363","PASSENGER","87cd647d8c75a0ea3b36b3cb1a21cc4d388a0408caf97e4a78a35ab02f1ce689e75c90e6549fc1567e32723022a4de7f914ea25f77bf70d67cfed54baf0e21f9","JE492170","1195173","2021-12-29T15:30:00.000","3","UNKNOWN","XX",,"M",,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1254472","DRIVER","1ed2dcc44b571c29956e900e2936dd585052ab1d5b8e2025ede52fbded33e9475826ac8cc361af5c7915ee140ca9412890b371ce874a52691c1312c67b239b19","JE492127","1190782","2021-12-29T15:23:00.000",,"CHICAGO","IL","60637","F","57","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","REPORTED, NOT EVIDENT","DECLINED EMS AFTER OFFERED",,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254473","DRIVER","1ed2dcc44b571c29956e900e2936dd585052ab1d5b8e2025ede52fbded33e9475826ac8cc361af5c7915ee140ca9412890b371ce874a52691c1312c67b239b19","JE492127","1190788","2021-12-29T15:23:00.000",,"WILMINGTON","IL","60481","M","23","IL","A","USAGE UNKNOWN","DID NOT DEPLOY","NONE","REPORTED, NOT EVIDENT","DECLINED MEDICAL",,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280460","PASSENGER","1ed2dcc44b571c29956e900e2936dd585052ab1d5b8e2025ede52fbded33e9475826ac8cc361af5c7915ee140ca9412890b371ce874a52691c1312c67b239b19","JE492127","1190782","2021-12-29T15:23:00.000","3",,,,"F","17",,,"USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY","NOT ON SCENE UPON R/O ARRIVAL",,,,,,,,,,,
"P280461","PASSENGER","1ed2dcc44b571c29956e900e2936dd585052ab1d5b8e2025ede52fbded33e9475826ac8cc361af5c7915ee140ca9412890b371ce874a52691c1312c67b239b19","JE492127","1190782","2021-12-29T15:23:00.000","6","DOLTON","IL","60419","M","61",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY","DECLINED EMS",,,,,,,,,,,
"O1254846","DRIVER","08e2cb8a051f4f2ee2fa2de0e330c164b1c7839bfbd6cb523463a2d3aba4d846764149dd853eb3462fbf5419e5983233c3b7444a75c4826d6bcb88fb495b6d43","JE493012","1191137","2021-12-29T15:20:00.000",,"EVANSTON","IL","60203","F","64","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"IMPROPER BACKING","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254444","DRIVER","12bf518aba6dfaa8ca07b706b95511e5dcf8b75d4979259873602bbc6f03079edf0c395fb5e467ef068cd5f23f93ed88810aa1a85f4f211a4c74c2199b359b32","JE492136","1190749","2021-12-29T15:15:00.000",,"GARY","IN","46407","F","37","IN",,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254445","DRIVER","12bf518aba6dfaa8ca07b706b95511e5dcf8b75d4979259873602bbc6f03079edf0c395fb5e467ef068cd5f23f93ed88810aa1a85f4f211a4c74c2199b359b32","JE492136","1190752","2021-12-29T15:15:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254500","DRIVER","9d5c79e3b7a66cb83e99c6c71ed617764f29e7d0415938098901c93759444fb677a833c4c79493244f821379f3be197c6b6b8f7d670d274538cc5b0bce7b0185","JE492206","1190810","2021-12-29T15:15:00.000",,"CHICAGOF","IL","60617","M","29","IL","D","USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254501","DRIVER","9d5c79e3b7a66cb83e99c6c71ed617764f29e7d0415938098901c93759444fb677a833c4c79493244f821379f3be197c6b6b8f7d670d274538cc5b0bce7b0185","JE492206","1190820","2021-12-29T15:15:00.000",,"CARBONDALE","IL","62901","M","25","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254442","DRIVER","b9016fb256856ae29b86353493b4d5aea8166d51f72fb69789b0af7350927513745e207dcc70cf875b0b36bb534c366676578d981ea6050b77e58a441378d7e2","JE492102","1190753","2021-12-29T15:12:00.000",,"GLENVIEW","IL","60025","M","67","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254443","DRIVER","b9016fb256856ae29b86353493b4d5aea8166d51f72fb69789b0af7350927513745e207dcc70cf875b0b36bb534c366676578d981ea6050b77e58a441378d7e2","JE492102","1190764","2021-12-29T15:12:00.000",,"BRIDGEVIEW","IL","60455","M","47","IL","B","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254446","DRIVER","7ba69d17cf162367df8683aa21794ec512086acbd204d070315388e85168eb4c7fa2d9e335802b0a273baf15099942de48893ee56c4cd4a0ef6c0f134af8d391","JE492119","1190751","2021-12-29T15:08:00.000",,,,"60651","X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"TOO FAST FOR CONDITIONS","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"P280452","PASSENGER","7ba69d17cf162367df8683aa21794ec512086acbd204d070315388e85168eb4c7fa2d9e335802b0a273baf15099942de48893ee56c4cd4a0ef6c0f134af8d391","JE492119","1190755","2021-12-29T15:08:00.000","1","CHICAGO","IL","60624","M","42",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280453","PASSENGER","7ba69d17cf162367df8683aa21794ec512086acbd204d070315388e85168eb4c7fa2d9e335802b0a273baf15099942de48893ee56c4cd4a0ef6c0f134af8d391","JE492119","1190755","2021-12-29T15:08:00.000","3","CHICAGO","IL","60624","F","28",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","REPORTED, NOT EVIDENT",,,,,,,,,,,,
"O1254440","DRIVER","b81bc04444aa4a3f8494ae01d0f8ce01d7efb4a7e39da4d5fad0d266c62667b554e4a89888985df71fbba64f03dd46ad221989cc008b5c1f35ee5133841cae36","JE492109","1190748","2021-12-29T15:03:00.000",,,,,"M",,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"DISREGARDED CONTROL DEVICES","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254441","DRIVER","b81bc04444aa4a3f8494ae01d0f8ce01d7efb4a7e39da4d5fad0d266c62667b554e4a89888985df71fbba64f03dd46ad221989cc008b5c1f35ee5133841cae36","JE492109","1190750","2021-12-29T15:03:00.000",,"CHICAGO","IL","60612","M","38","IL","B","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254430","DRIVER","187bbb07e3b6d3f289ebbb56d211990594ac5c6f941c3c133761b6ea0d4335a2df757986747fa37b1ecfcd6563704d4cf7ff5cfac44b587769fa0541d001f6e7","JE492110","1190739","2021-12-29T15:00:00.000",,"CHICAGO","IL","60619","F","48","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254431","DRIVER","187bbb07e3b6d3f289ebbb56d211990594ac5c6f941c3c133761b6ea0d4335a2df757986747fa37b1ecfcd6563704d4cf7ff5cfac44b587769fa0541d001f6e7","JE492110","1190744","2021-12-29T15:00:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"IMPROPER TURN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254396","DRIVER","22b6401b87b2ed3fab013b1df743a9f23b0d9bc3298d52479501750a2753e14b6d7e46e579203cc09b0fa03515776314dcf6bf535e2c79d488a084cfabf0c71b","JE492051","1190697","2021-12-29T15:00:00.000",,"CHICAGO","IL","60643","M","76","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254397","DRIVER","22b6401b87b2ed3fab013b1df743a9f23b0d9bc3298d52479501750a2753e14b6d7e46e579203cc09b0fa03515776314dcf6bf535e2c79d488a084cfabf0c71b","JE492051","1190704","2021-12-29T15:00:00.000",,"CHICAGO","IL","60629","M","27","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254563","DRIVER","e449515227fe472f2a1cf698e5e7760b2069cef95bb2434eb9e1fff79588a9c4bfa955f56866216272deda4f635f091959d25d76c0c81853120912dd1165319e","JE492327","1190865","2021-12-29T15:00:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254468","DRIVER","e4ae4df27f97f4dc9322135347bd39e875409420b836585b51601ff6dfd0da505a4700278f8ba7dedef6ac6c415205c6945abdc90964472c9a57a8b056280dd3","JE492168","1190779","2021-12-29T14:55:00.000",,"MELROSE PARK","IL","60164","M","28","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254380","DRIVER","0d18a24718cf64c51e531428ad935e1a300abd4bd9190f283557afee04d5735ebb9ffb12390385d38d7e35b4dd1ec90c1d79455fcd80d995ea18001f0957894f","JE492033","1190693","2021-12-29T14:50:00.000",,"CHICAGO","IL","60655","M","19","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"IMPROPER TURN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254381","DRIVER","0d18a24718cf64c51e531428ad935e1a300abd4bd9190f283557afee04d5735ebb9ffb12390385d38d7e35b4dd1ec90c1d79455fcd80d995ea18001f0957894f","JE492033","1190706","2021-12-29T14:50:00.000",,"CHICAGO","IL","60655","F","38","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254469","DRIVER","92b7fb23a22760e3ab0ef93c98577cf1281be39a421f28132deb24f0fb5a92b392347d8dc3a649ee3be27097c4f733c53e894f3ffbf11fa5912d5f008d947038","JE492173","1190776","2021-12-29T14:45:00.000",,"CHICAGO","IL","60632","M","25","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1254410","DRIVER","89cc43373b891ef0745da698ce0f8df1724efb32bacb92f89e458500984fc9553d4d69bfd6a939b64bfc933e6145368455d07f75a2ca9538cc4ac8c8fead9da6","JE492053","1190723","2021-12-29T14:34:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254400","DRIVER","09d524c8d448b0ad8684bb9d7f3d8d86deecd779f33c90f18718fd9a609f6c7705a0d47331fc46dd6e0cf6758c2ec540146604bb355eca897af9df8812fe2570","JE492061","1190702","2021-12-29T14:30:00.000",,"CHICAGO","IL","60625","M",,"IL",,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254401","DRIVER","09d524c8d448b0ad8684bb9d7f3d8d86deecd779f33c90f18718fd9a609f6c7705a0d47331fc46dd6e0cf6758c2ec540146604bb355eca897af9df8812fe2570","JE492061","1190708","2021-12-29T14:30:00.000",,"CHICAGO","IL","60652","M",,"IL",,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254873","DRIVER","2d8b0027cba339d77773b6373605593daff4fd4d121eef2b74a613a482ae40dce1000703bfe9b1b87be4441454474ffac0d516fbd069ef1d3e30552f991faede","JE493080","1191170","2021-12-29T14:30:00.000",,"CHICAGO","IL","60631","M","57","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NONINCAPACITATING INJURY","RESURRECTION HOSPITAL",,,"FAILED TO YIELD","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1254874","DRIVER","2d8b0027cba339d77773b6373605593daff4fd4d121eef2b74a613a482ae40dce1000703bfe9b1b87be4441454474ffac0d516fbd069ef1d3e30552f991faede","JE493080","1191172","2021-12-29T14:30:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254420","DRIVER","39504218c0295e46e36c845c09dea92af78a1a096c59caf35bc4cf5e8da8b5940128407220ceb0523a4a3fdbc685eaccfad901a9a623859e3b63c806cf374ffa","JE492056","1190725","2021-12-29T14:28:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254421","BICYCLE","39504218c0295e46e36c845c09dea92af78a1a096c59caf35bc4cf5e8da8b5940128407220ceb0523a4a3fdbc685eaccfad901a9a623859e3b63c806cf374ffa","JE492056",,"2021-12-29T14:28:00.000",,"CHICAGO","IL","60640","M","60",,,"HELMET NOT USED",,"NONE","REPORTED, NOT EVIDENT","WEISS","CFD",,"NONE","NOT OBSCURED","REMOVED BY EMS","WITH TRAFFIC","NO CONTRASTING CLOTHING","IN ROADWAY","TEST NOT OFFERED",,
"O1254382","DRIVER","9bea6738be06a55bc62c8e12575d6c64430daf36410602223229e9f0e66d0fd4a9b1356887af477c82951b22f69dfb5fcd12a3f9c2f6e123d4d5120a547acbc6","JE492089","1190691","2021-12-29T14:18:00.000",,,,,"M",,,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"TOO FAST FOR CONDITIONS","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254383","DRIVER","9bea6738be06a55bc62c8e12575d6c64430daf36410602223229e9f0e66d0fd4a9b1356887af477c82951b22f69dfb5fcd12a3f9c2f6e123d4d5120a547acbc6","JE492089","1190990","2021-12-29T14:18:00.000",,"CHICAGO","IL","60651","F","27","IL",,"USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY","NONE","EMS 33 ENGINE 32",,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1254724","DRIVER","9bea6738be06a55bc62c8e12575d6c64430daf36410602223229e9f0e66d0fd4a9b1356887af477c82951b22f69dfb5fcd12a3f9c2f6e123d4d5120a547acbc6","JE492089","1191022","2021-12-29T14:18:00.000",,"CHICAGO","IL",,"M",,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"P280446","PASSENGER","9bea6738be06a55bc62c8e12575d6c64430daf36410602223229e9f0e66d0fd4a9b1356887af477c82951b22f69dfb5fcd12a3f9c2f6e123d4d5120a547acbc6","JE492089","1190691","2021-12-29T14:18:00.000","2",,,,,,,,,,,,,,,,,,,,,,,
"P280447","PASSENGER","9bea6738be06a55bc62c8e12575d6c64430daf36410602223229e9f0e66d0fd4a9b1356887af477c82951b22f69dfb5fcd12a3f9c2f6e123d4d5120a547acbc6","JE492089","1190691","2021-12-29T14:18:00.000","4",,,,,,,,,,,,,,,,,,,,,,,
"O1254402","DRIVER","4881581e56a882e73d33e27018a051ee3beaff5c05a8e744c398d461c74d1cf7b5f7480e10b752b9cb677c9e2386d22bfbacadb7bf2ee620f5dd5ab18121f708","JE492069","1190698","2021-12-29T14:15:00.000",,"CHICAGO","IL","60620","F","27","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280449","PASSENGER","4881581e56a882e73d33e27018a051ee3beaff5c05a8e744c398d461c74d1cf7b5f7480e10b752b9cb677c9e2386d22bfbacadb7bf2ee620f5dd5ab18121f708","JE492069","1190700","2021-12-29T14:15:00.000","1","CHICAGO","IL","60607","F","77",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1254357","DRIVER","a29b11f1d32a03ef0dac43854a67d82fdf55d91dc60ca9b83c49312590079c6eb12e8e81a56af71a7c1b38956bad0f5fbcbf390d283373a544d07e6be3a4ba20","JE491994","1190685","2021-12-29T14:15:00.000",,"CHICAGO","IL","60629","M","63","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254358","DRIVER","a29b11f1d32a03ef0dac43854a67d82fdf55d91dc60ca9b83c49312590079c6eb12e8e81a56af71a7c1b38956bad0f5fbcbf390d283373a544d07e6be3a4ba20","JE491994","1190672","2021-12-29T14:15:00.000",,"CHICAGO","IL","60608","F","23","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280443","PASSENGER","a29b11f1d32a03ef0dac43854a67d82fdf55d91dc60ca9b83c49312590079c6eb12e8e81a56af71a7c1b38956bad0f5fbcbf390d283373a544d07e6be3a4ba20","JE491994","1190672","2021-12-29T14:15:00.000","4",,,,"M",,,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1254428","DRIVER","43a20805d90689ff3cc1828ce800bd24a3d2a86e8586de6a4bb7583da3588a5ac6c3b5d3910f6332adf3e23615c5c5dabc4b8bd3d54f15716f538a99d1653a72","JE492075","1190759","2021-12-29T14:11:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254733","DRIVER","05633d4a278b23ab3a162208c6e699d9234870a9236bbbc007d2d9a81a061f69a4311d9aeb2ed6bdbd9828ff99d7275b04411f2acc8591fd63607bc23e2b5bde","JE492764","1191036","2021-12-29T14:10:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"IMPROPER PARKING","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254734","DRIVER","05633d4a278b23ab3a162208c6e699d9234870a9236bbbc007d2d9a81a061f69a4311d9aeb2ed6bdbd9828ff99d7275b04411f2acc8591fd63607bc23e2b5bde","JE492764","1191460","2021-12-29T14:10:00.000",,"CHICAGO","IL","60636","F",,"IL","VL","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254369","DRIVER","66caf88235ca4d27d9fa2d0a92f45a80bb75550bd38b040f457df0d724441af19ecd2284870bebc13fa2820a1896c3e813fe2bcf663105d9875c2cc8fc6735df","JE492027","1190677","2021-12-29T14:05:00.000",,"CHICAGO","IL","60653","M","31","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1254372","DRIVER","088a91060e1d053b03e2d28c07fbad407e5c1424225e9c5dfd600330d49dfc04b4900d024277322b071e248fedf08c94b70370159f6d997e51ca54ba0ffce727","JE491971","1190682","2021-12-29T14:00:00.000",,,,,"M",,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254374","DRIVER","4a29b7c47d64aa8e3b2b109556c708182ad6a1e6b06da6635d6318687ba9fdf950fbe63e67c87674253f9c8cf4bec002421da5aa12dd49234a0580ac36dbb71b","JE492017","1190679","2021-12-29T14:00:00.000",,"CHICAGO","IL",,"F",,"IL",,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254375","DRIVER","4a29b7c47d64aa8e3b2b109556c708182ad6a1e6b06da6635d6318687ba9fdf950fbe63e67c87674253f9c8cf4bec002421da5aa12dd49234a0580ac36dbb71b","JE492017","1190686","2021-12-29T14:00:00.000",,"CHICAGO","IL",,"F",,"IL",,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254398","DRIVER","97112deb3cf0fb90602cde05776cd125b5f24b52544f2a652072171dcf72e0ab7b1257babd4af5fbaab6ce1dbbd0f8855bfcbbef045a81000e067083ccf76fef","JE492072","1190712","2021-12-29T14:00:00.000",,"FRANKLIN PARK","IL","60313","M","50","IL","A","NONE PRESENT","NOT APPLICABLE","NONE","NO INDICATION OF INJURY","N/A","N/A",,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1262417","DRIVER","c31230de3a0d0ba01ad28e7919ac5ea2a9878eebebc06f30ec25c59fd939ebe079ea3d1f7cebb3a0d319a32e8bb159e926f30942df55764e3a531b1ec940b47d","JF112037","1198367","2021-12-29T14:00:00.000",,"CHICAGO","IL","60649","F","64","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"IMPROPER TURN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1262418","DRIVER","c31230de3a0d0ba01ad28e7919ac5ea2a9878eebebc06f30ec25c59fd939ebe079ea3d1f7cebb3a0d319a32e8bb159e926f30942df55764e3a531b1ec940b47d","JF112037","1198371","2021-12-29T14:00:00.000",,"CHICAGO","IL","60615","M","50","IL","DM","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254407","DRIVER","eeaa4d4359fa9916a8fcbbca1c727bb400e7519683b44d56c39e7d7ea46c98fa7c83b14b89feb35e68a383aa390b329465e248f76bf41c7fdce78144287195e4","JE492071","1190722","2021-12-29T14:00:00.000",,"CHICAGO","IL","60632","F","19","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"IMPROPER BACKING","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1254353","DRIVER","eb336c660a5a85b3c78ab3647db1dc062602f038cdc0aecc3b9f3a94cf696bd0af3df3befba9dd1f52afaebd7466fb4b74549cffe7f8ee4d12250d5559ed3607","JE491929","1190661","2021-12-29T13:55:00.000",,"CHICAGO","IL","60651","M","24","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"IMPROPER PASSING","NOT OBSCURED","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254354","DRIVER","eb336c660a5a85b3c78ab3647db1dc062602f038cdc0aecc3b9f3a94cf696bd0af3df3befba9dd1f52afaebd7466fb4b74549cffe7f8ee4d12250d5559ed3607","JE491929","1190669","2021-12-29T13:55:00.000",,"CHICAGO","IL","60634","M","47","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","UNKNOWN",,,,"TEST NOT OFFERED",,
"P280441","PASSENGER","eb336c660a5a85b3c78ab3647db1dc062602f038cdc0aecc3b9f3a94cf696bd0af3df3befba9dd1f52afaebd7466fb4b74549cffe7f8ee4d12250d5559ed3607","JE491929","1190661","2021-12-29T13:55:00.000","3",,,,"F",,,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280442","PASSENGER","eb336c660a5a85b3c78ab3647db1dc062602f038cdc0aecc3b9f3a94cf696bd0af3df3befba9dd1f52afaebd7466fb4b74549cffe7f8ee4d12250d5559ed3607","JE491929","1190661","2021-12-29T13:55:00.000","6",,,,"F",,,,"CHILD RESTRAINT - REAR FACING","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1254337","DRIVER","a1de1a271b2e3b9f9d9e0cdb5631a6237f22225293470138ccebcc95b4926b39c9bf246b0ed5ca0876cf121347ac3fe63c1c0f36a27d228c502dfe8d76d2f21e","JE491964","1190647","2021-12-29T13:37:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"IMPROPER BACKING","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1254338","DRIVER","a1de1a271b2e3b9f9d9e0cdb5631a6237f22225293470138ccebcc95b4926b39c9bf246b0ed5ca0876cf121347ac3fe63c1c0f36a27d228c502dfe8d76d2f21e","JE491964","1190652","2021-12-29T13:37:00.000",,"CHICAGO","IL","60649","M","48","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
